description,commit messages,linked issue titles,original,T5,BART,Llama3,DeepSeek-V2,BlueLM
 leaving the pad or the invalid_entry aba_ctr uninitialized causes valgrind to complain since part of the atm read is still uninitialized. possibly consider doing this under ndebug? , stop upsetting valgrind with uninitialized shorts  add explicit comments about purpose of writing to pad ,,write to dummy pads and invalid entries in lock-free stack to prevent valgrind complaints,stop upsetting valgrind with uninitialized shorts,stop upsetting valgrind with uninitialized shorts,eliminate some uses of uninitialized memory found by valgrind, stop upsetting valgrind with uninitialized shorts,stop upsetting valgrind with uninitialized shorts
 this pr converts many but not all of the uses in the codebase. as a result building rust issues a lot of warnings. i didn't have time to fix all those...i'll try to fix more but i thought it made sense to post the pr anyway. , declare &foo[] to be obsolete syntax. modify the obsolete mechanism to  support warnings.  replace all uses of &foo[] with &foo[..] en masse. ,,make &foo[] syntax issue a warning (but still work),replace all uses of &foo[] with &foo[..],replace all uses of &foo[] with &foo[..] en masse,fix rust warnings by converting &foo[] to &foo[..], convert &foo[] to &foo[..] to reduce build warnings,declare &foo[] to be obsolete syntax
 games that use the depth test will most likely draw a black screen until depth clearing is implemented. see #609 , gpu: implemented the z24s8 depth format and load the depth framebuffer.  gpu: added registers for depth test and cull mode.  maxwelltogl: added conversion functions for depth test and cull mode.  gpu: set up the depth test state on every draw. ,,implemented the depth buffer and depth test + culling,gpu: added depth test and cull mode,implemented the z24s8 depth format and load the depth framebuffer.,fix depth test implementation, Implement Depth Test and Clear for Game Rendering,implement depth test
" this pr fixes #13767 adding in additional interfaces to correctly define certain easing factories, which allow parameterization (i.e. poly, back and elastic) it is related to #11365 and #11366. thanks for spotting the bug @billdwhite make your pr against the master branch. follow the advice from the readme. avoid common mistakes. run tsc without errors. run npm run lint package-name if a tslint.json is present. provide a url to documentation or source code which provides context for the suggested changes: < increase the version number in the header if appropriate. if you are making substantial changes, consider adding a tslint.json containing { ""extends"": ""../tslint.json"" }. "," fetch-merge commit from dt master  merge remote-tracking branch 'definitelytyped/master'  merge remote-tracking branch 'definitelytyped/master'  merge remote-tracking branch 'definitelytyped/master'  merge remote-tracking branch 'definitelytyped/master'  merge remote-tracking branch 'definitelytyped/master'  merge remote-tracking branch 'definitelytyped/master'  d3-ease:  * [fix]: added interfaces and changed definitions for three classes of easing functions, which can be parameterized. fixes #13767.  * [enhancement]: activated strictnullchecks after validation  * [chore]: added jsdoc comments  * [chore]: added linting config file. ", [bug] d3-ease omitted easing function parameterizations ,"add parameterization, strictnullchecks and  jsdoc comments",add interfaces and changed definitions for easing functions,d3-ease added missing easing function parameterizations,add support for easing factories in d3-ease, fix d3-ease easing function parameterizations and add strict null checks,"d3-ease: added interfaces and changed definitions for three classes of easing functions, which can be parameterized. fixes #13767."
" runtime tested on rpi4 with justboom dac, justboom digi and hifiberry digi-pro that's it from my side, i think i'm through all the i2s cards i have here ", asoc: justboom-dac: use modern dai_link style  asoc: rpi-wm8804-soundcard: use modern dai_link style ,,"justboom-dac, rpi-wm8804-soundcard: use modern dai_link style",use modern dai_link style asoc,use modern dai_link style for rpi4,alsa/soc/bcm: update to use modern dai_link style for JustBoom DAC and RPi WM8804 soundcard, asoc: update dai_link style for justboom-dac and rpi-wm8804-soundcard,alsa/soc: add asoc support for justboom dac and rpi-wm8804-soundcard
" this pull request implements following changes add hindi translation for weather report, morning, noon, evening, night add hindi translation for help file and could you please add your name to the translators list? (see above) closes: #429 ", feat(translation): hindi translation for we-lang  feat(translation): add hindi translation for help file , hindi translation ,hindi translation for we-lang and help file,add hindi translation for we-lang,add hindi translation for weather report and help file,hindi translation for weather report and help file," added hindi translations for weather report, help file, and time periods","add hindi translation for weather report, help file and update translators list"
" remove a user from a team, or as a regular user, leave the team. the last modal step should be the one in the screenshot. ", update leave team modal  stories  remove user modal ,,change modals for remove user from team && leave team,remove user modal from team,update leave team modal,update leave team modal to new design, update leave team modal and remove user modal,update leave team modal
 implement various traits (iterbytes and extra's encodable and decodable) for rc when t alreay implements the trait. , add an implementation of encodable and decodable for rc. this will be needed to use rc in place of @ in libsyntax.  implement iterbytes for rc<t>. ,,implement various traits for rc<t>,implement iterbytes and extra's encodable and decodable for rc,implement iterbytes and decodable for rc<t>,Implement various traits for rc," Implement encodable, decodable, and iterbytes traits for rc",make rc implement required traits
" part 8. we have an in-house rule to compare explicitly against false instead of using the logical not operator (!). however, this hasn't historically been enforced, meaning that there are many violations in the source at present. we now have a checkstyle rule that can detect these cases, but before we can turn it on, we need to fix the existing violations. this is being done over a series of prs, since there are a lot to fix. ", more fixes in libs/  fixes in x-pack/plugin/sql  fixes in server action/admin/indices  fixes in client and server  fixes in server  fixes in server  fixes in server  fixes in server  fixes in server  fixes in server  more fixes ,,replace not operator with explicit false check - part 8,more fixes in libs/ fixes in x-pack/plugin/sql,fix a bunch of violations in the source,replace not operator with explicit false check - part 8, replace not operator with explicit false check - part 8,replace not operator with explicit false check - part 8
" fixes #7189  (regression introduced with #7102) additionally ensured old function arn format, when no provisioned concurrency setup is involved, this should help partially solve issues for users of plugins which relied on old template format -> davidgf/serverless-plugin-canary-deployments#71 ", refactor(aws lambda): ensure natural function reference when no alias  test(aws lambda): improve coverage  expose #7189  refactor(aws lambda): resolve deep value once  refactor(aws lambda): do not deep merge when not necessary , breaking change introduced for custom authorizer lambdas ,fix lamdba permissions setup when authorizer is involved,fix refactor(aws lambda): do not deep merge when not necessary,ensure natural function reference when no alias,fix natural function reference when no alias, fix custom authorizer lambda reference format,ensure proper function ref when no alias
" this pr ensures that handlers have the correct parent.  this change does for handlers what tasks already had done. this ensures that things like the following apply to handlers: - import_role: name: thing delegate_to: localhost fixes #36518 additionally, on a small note, task_list.extend is in place and returns nothing, don't assign to t. ansible version ", ensure role handlers are parented correctly. fixes #36518  add delegate_to test for include_role handlers , import_role with delegate_to does not run handlers on the delegated to host ,ensure handlers have proper parent,ensure role handlers are parented correctly,ensure role handlers are parented correctly,clean up role handlers to ensure correct parenting, Ensure correct parentage for role handlers and fix delegate_to behavior,ensure role handlers are parented correctly
 @mugen87 there were only minor corrections to the ts introduced with #16969 i realized that codeserializer was poorly documented and that it needed clean-up especially with regard to unused functionality. that's why it became the biggest change here. ," codeserializer: clean, update doc and typescript definitions  general: align js docs and ts signature files  codeserializer: clean-up/remove functionality no longer needed. make override clearer via codeserializationinstruction  fixed comments and made minor ts adjustments ",,"clean-up, code doc update and ts alignment",fix minor ts corrections,minor clean-up and ts fixes,fix codeserializer documentation and typescript definitions, improved documentation and typescript definitions for codeserializer,"codeserializer: clean-up, doc updates and ts definitions"
" with this pr, when a node is the left hand expression of a property access, element access, or call expression, and the type of the node includes type variables with constraints that are nullable, we fetch the apparent type of the node before performing control flow analysis such that narrowings apply to the constraint type. for example: type item = { (): string; x: string; } function f1<t extends item | undefined>(obj: t) { if (obj) { obj.x;     // ok obj[""x""];  // ok obj();     // ok } } prior to this pr, the property access, element access, and call expressions above were errors. fixes #14091. fixes #14415. ", obtain apparent type before narrowing type variables  new behavior only for type variables with nullable constraints  add tests ,,improve type guards for type variables,obtain apparent type before narrowing type variables,get apparent type before narrowing type variables,improve control flow analysis for nullable type variables, Improve control flow analysis for nullable constrained type variables,"fetch apparent type before narrowing for property accesses, element accesses, and calls"
 moves the python tests to the python subdir. adds a libbcc.a target for those statically inclined. ," move python tests to tests/python  they didn't quite make sense where they were. at one point 'cc' meant  compiler, and yes they were testing the compiler. now lets use the  convention that different tests/ subdirectories test different bindings  (c, python, other).  add libbcc.a compilation and test binary  this creates a new static library target for bcc. add one trivial c test  case that links against it. ",,move cc/*py tests to python subdir and introduce c standalone test binary,add libbcc.a compilation and test binary,move python tests to python subdir,move python tests to tests/python and add libbcc.a target, Move Python tests to subdir and add libbcc.a target,"add python tests, add libbcc.a static library target"
" mysqlnd_field_type_name is not used anywhere. my research turned up nothing. it looks like a leftover from some previous functionality. either i am too dumb to understand or get_parameter_metadata is just dead code. i can't see any references to this method anywhere. stat triggers is a functionality that doesn't seem to be used anywhere. it doesn't look like it harms performance, but if nobody uses it then it might be prudent to just drop this functionality and have cleaner code. "," remove mysqlnd_field_type_name  remove get_parameter_metadata  drop mysqlnd statistics triggers  this functionality is not used productively in php and it's not used in  any of the extensions to my knowledge. since it looks like this functionality  isn't required by anyone, let's clean up mysqlnd and drop it. ",,"mysqlnd refactoring (remove mysqlnd_field_type_name, get_parameter_metadata, and mysqlnd stat triggers)",remove mysqlnd_field_type_name and drop stat triggers,drop mysqlnd stats triggers and stat triggers,Clean up unused mysqlnd functionality, remove unused mysqlnd_field_type_name and get_parameter_metadata methods,Remove unused mysqlnd functionality
" this pr offers a fix for pr 16162's problem with causing td3 tests to fail/timeout often. pr 16162 added a sleep to _nextvaluenotready causes td3 tests to become flakey. this pr removes that sleep from the c'tor of _nextvaluenotready, but keeps the sleep in place inside impala's learner_thread such that the original issue should remain fixed. see also this discussions here:  i've run scripts/format.sh to lint the changes in this pr. ", wip.  wip. ,,having added sleep to _nextvaluenotready causes td3 tests to become flakey.,fix td3 tests to fail/timeout often,fix for pr 16162's problem with causing td3 tests to fail/timeout,fix td3 tests flakiness by removing sleep from _nextvaluenotready, Fix TD3 Test Flakiness by Adjusting Sleep in _nextValueNotReady,fix td3 flakiness introduced by #16162
" add or edit tests to reflect the change. (run with npm test.) run npm run lint package-name (or tsc if no tslint.json is present). the package does not already provide its own types, or cannot have its .d.ts files generated via --declaration create it with dts-gen --dt, not by basing it on an existing project. tslint.json should be present, and tsconfig.json should have noimplicitany, noimplicitthis, strictnullchecks, and strictfunctiontypes set to true. ", feat: react hooks helper types  fix: react hooks helper test ,,types for npm package: react-hooks-helper,react hooks helper types fix,add types for react hooks helper,add types for react hooks helper, feat: react hooks helper types and fix: react hooks helper test,Feat: Add types for React Hooks helpers
 please don't merge this pr until cocos2d/cocos2d-js-tests#201 is merged. ," issue #2521: updating comments where searchs full path.  issue #2521: capture event of controlbutton in ccb for jsb.  issue #2521: fixing a logical error in ccbreader::addowneroutletnode. 'null  != node' --> 'null == node'.  issue #2521: removing an unused method controlstepper::setvalue(double value, bool send); since it's not implemented and there is an similar method 'setvaluewithsendingevent' could replace it.  issue #2521: testjavascript needs ccbreader support.  issue #2521: adding 'cc.convertcolor3btohexstring' in jsb_cocos2d.js.  issue #2521: updating tojs/cocos2dx_extension.ini, bind more cccontrols.  issue #2521: reporting an error when the callback function is undefined in 'js_cocos2dx_setcallback'.  closed #2521: updating jsb_cocosbuilder.js, it supports cccontrol now.  issue #2521: updating js-test. ",,adding more extensiontest like cocosbuildertest and controlbuttontest and bug fix in ccbreader.,cccontrol support for jsb,"updating tojs/cocos2d-js-tests, bind more cccontrols.",upgrading jsb_cocosbuilder.js to support cccontrol., Updating JSB support and fixing logical errors in CCBReader,cocos2d-js-tests
 layername buttons will grow/shrink to fill layer panel width. grows to a maximum of the draw width of the widest set layer name. also fixes #47 ," fix stbte_create_map declaration  stbte: layername button grows/shrinks  layer name buttons grow to fill box  stbte: update documentation/version 0.31  changed revision history, todo, credits, and readme ", stbte_create or stbte_create_map ,layer name buttons grow with layer panel,add layername buttons to fill box,stbte create and create map,fixed layername buttons to grow/shrink to fill layer panel width, improved layer name button sizing and fixed #47,stbte_create: layername button grows/shrinks
" some package repositories which require basic http authentication include the user's credentials in urls returned as part of json responses. because poetry's request authentication system checks for a matching netloc, this ends up breaking basic http authentication for such repositories. this pull request compares by hostname instead of netloc. because hostname doesn't include any extra url authentication information, this fixes access to these repositories. this fixes issue #746. ", fix authentication failure for some apis  fixes an issue which occurs when apis return authentication information in the urls embedded in json responses.  test authentication on same host with duplicated credentials  add test to ensure that basic authentication credentials in request urls does not break authentication when they credentials match. this test purposefully does not examine program behavior when url credentials and session credentials are different. ,,fix request authentication when credentials are included in urls,fix authentication failure for some apis,fix authentication failure for some package repositories,make poetry's request authentication system work with basic http authentication in urls, fix basic http authentication for repositories with embedded credentials in URLs,fix basic http authentication with urls containing authentication information
" the adder node can now add float vectors of different lengths by trimming them to the same dimensionality. we can change this behavior in the future, or introduce different nodes (like a ""mix"" node) that address differing vector lengths in different ways. ", introduce dimensions to expression  rename to setexpressionforslot and add redcomponent function  add expression helpers to aid with differing data widths  add float2constantnode  single-line functions when possible ,,introduce handling for varying dimensionality,add float vectors of different lengths,add float vectors of different lengths to expression,Add support for adding float vectors of different lengths, Add support for adding float vectors of different lengths in Adder Node,allow adder node to add vectors of differing lengths
" @rocketchat/core closes #7408 this feature allows someone with ""view-room-administration"" permission to list all groups with the api call /api/v1/groups.list similar modifications should be done in the other groups api calls to ensure users with the proper permissions can do the same thing via api than with the web interface (such as delete & modify groups) ", fix #7408  indent fixes ,,allows admin to list all groups with api,fix #7408 indent fixes for v1/groups.list,allow view-room-administration permission to list all groups,add permission checks to groups api methods, Add permission checks to bulk REST API methods,add groups.list api call
" i tried to translate the original file into arabic, but there are some blocks that cannot be translated into arabic because the meaning is very different, for the tables, i could not translate them completely ", add the ds link  finish translating math  add arabic version of the readme file  add arabic version of the readme file  add the arabic readme file link to main readme file  add the arabic readme file link to main readme file  add the arabic readme file link to main readme file ,,add an arabic version of the readme file,add arabic version of the readme file,add the arabic version of the readme file,add arabic translation to readme, add arabic translation for readme with partial table translation,add arabic translation for readme file
 this should tidy up the javadoc generation and the hystrix-contrib project. ," use classpath, which is being changed by provided, instead of default  nebula-30 fixing javadoc arguments. using proper delegate in javadoc closure, add custom string option  nebula-28 preventing contrib project from being uploaded  nebula-31 ignore output from gradle maven ant tasks ",,"fixes for nebula-28, nebula-30, nebula-31",tidy up javadoc generation and hystrix-contrib project,fix javadoc generation and hystrix-contrib project,Tidy up javadoc generation and hystrix-contrib project, Tidy up javadoc generation and hystrix-contrib project,build changes to nebula.netflixoss
" this is a basic change.  we have nightwatchtesthooks extending nightwatchglobals, but the globals property is only scoped to nightwatchglobals.  this excludes global before, beforeeach, after, and aftereach functions. it's important to separate before/after and beforeeach/aftereach - they don't get the same arguments. add or edit tests to reflect the change. (run with npm test.) follow the advice from the readme. avoid common mistakes. run npm run lint package-name (or tsc if no tslint.json is present). provide a url to documentation or source code which provides context for the suggested changes:  include tests for your changes if you are making substantial changes, consider adding a tslint.json containing { ""extends"": ""dtslint/dt.json"" }. if for reason the any rule need to be disabled, disable it for that line using // tslint:disable-next-line [rulename] and not for whole package so that the need for disabling can be reviewed. ", fixed page_object_path to page_objects_path  added webdriver options to nightwatchoptions  forgot a semicolon  merge remote-tracking branch 'upstream/master'  changed globals definition to nightwatchtesthooks  separated global hook definitions ,,changed globals from nighwatchglobals to nightwatchtesthooks,changed globals definition to nightwatchglobals,changed globals definition to nightwatchglobals,update nightwatchtesthooks to include global hook definitions, update globals and hooks in nightwatchtesthooks,separate global hook definitions
" rename container_option to container, make runtime options have the same code style. rename image name from ray-nest-container to ray-worker-container,  because it can be used in other scenarios, not only in nest container. #16671 i've run scripts/format.sh to lint the changes in this pr. ", rename container_option to container  rename ray-nest-container to ray-worker-container ,,rename container option and ray-nest-container,rename image name from ray-nest-container to ray-worker-container,"rename container_option to container, make runtime options have the same code style",rename container_option and image name, rename container_option to container and update image name,rename container related variables
" addresses the handful of remaining feedback from pt. 2, plus adds two new tests: one verifying a multi-topology application with a fkj and its internal topics, another to make sure iq works with named topologies (though note that there is a bit more work left for iq to be fully supported, will be tackled after pt. 3 "," followup to feedback from pt. 2, cleanup some tests and peel some pt. 3 refactoring up front, plus test for iq  clarify iq status ",,minor followup from pt. 2 and some new tests,pt. 2 followup to pt. 2 feedback,followup to feedback from pt. 2,fix remaining feedback from pt. 2 and add tests for multi-topology application and named topologies, add tests for multi-topology application with FJK and named topologies,"followup to feedback from pt. 2, cleanup some tests and peel some pt. 3 refactoring up front, plus test for iq"
" this issue if related to #5546, where it is claimed that datafeeders will become deprecated. as such, this branch has following changes added _generatorfeedfn class generator_input_fn in generator_io.py support for generator_input_fn in enqueue_data() added unitest in generator_io_test.py refactored code keeping indent spacing to 2. ", branch to test_tensorflow  using types.generatortype for validation  changed to receving generator function  this allows to run multiple epochs of a finite generator  using placeholders as keys to feed dictionary  added correct counter for the index_placeholder  added corrections to tests  removing extra spaces ,,add support for dict generator input_fn in learn_io,added _generatorfeedfn class generator_input_fn in generator_io.py,support for datafeeders in generator_io.py,configurable generator input function for datafeeders, added support for generator_input_fn in TensorFlow data feeders,Test Tensorflow with Generator Functions
" commit message: in order to speed up eds, don't necessarily visit every proto field to count its validity as warningvalidationvisitor does. this yields a ~30% speed improvement in processing very large updates in eds. risk level: medium, new feature behind a command line flag. testing: unit and bechmark tests. docs changes: these are probably wrong, thus the draft-ness. release notes: eds can now ignore unknown dynamic fields, for a ~30% improvement in update processing time. behind --ignore-unknown-dynamic-fields ", add the ability to ignore unknown fields in eds.  repair some merge damage and move the conditional down a layer as htuch requested. ,,optionalize counting of unknown fields,eds can now ignore unknown dynamic fields,ignore unknown dynamic fields in eds,add ability to ignore unknown dynamic fields in eds for a ~30% speed improvement, Speed up EDS processing by ignoring unknown dynamic fields with --ignore-unknown-dynamic-fields flag,eds: speed up validation of service updates by ignoring unknown dynamic fields
" after the merging of #9848 , we can now interact with the jsonapi endpoints of a drupal site behind basic authentication. this works, however gatsby cannot retrieve remote files, because the calls executed in createremotefilenode do not currently take into consideration the basic auth credentials. this pull request adds those credentials so that files are correctly fetched from the remote drupal site behind basic auth. ", gatsby-source-drupal: use basic auth credentials also when fetching remote files.  gatsby-source-drupal: better support the case where no basic auth is specified. ,,use basic auth credentials to fetch remote files as well.,use basic auth credentials when fetching remote files,use basic auth credentials also when fetching remote files,add basic auth credentials for remote file fetching, Improve Gatsby-source-Drupal to handle basic auth for remote file fetching,gatsby-source-drupal: add support for basic authentication when fetching remote files
" closes #9906 done the cross linking as mentioned in the issue linked above. i have reviewed my changes in staging (look for the latest deployment event in your pull request's timeline, then click view deployment). for content changes, i have completed the self-review checklist. ", add further reading links  fixes github#9906  fix link  add further reading links  fixes github#9906  linking  fixes github#9906  linking  linking  added further reading section ," add ""further reading links"" between end-user and org guides for codespaces ",adds further reading links to certain codespaces docs,add more reading links to end-user and org guides,"add ""further reading links"" for codespaces",adds further reading links between end-user and org guides for codespaces," add ""further reading links"" between end-user and org guides for codespaces",add further reading links between end-user and org guides for codespaces
" remove duplicate code in abstractconfig.java to make brief and clean remove code classutils.isprimitive(method1.getreturntype()) in abstractconfig.java at line 653 classutils.isprimitive(method1.getreturntype()) is already judge in method methodutils.isgetter follow this checklist to help us incorporate your contribution quickly and easily: make sure there is a github_issue field for the change (usually before you start working on it). trivial changes like typos do not require a github issue. your pull request should address just this issue, without pulling in other changes - one pr resolves one issue. format the pull request title like [dubbo-xxx] fix unknownexception when host config not exist #xxx. each commit in the pull request should have a meaningful subject line and body. write necessary unit-test to verify your logic correction, more mock a little better when cross module dependency exist. if the new feature or significant change is committed, please remember to add sample in dubbo samples project. run mvn clean install -dskiptests=false & mvn clean test-compile failsafe:integration-test to make sure unit-test and integration-test pass. if this contribution is large, please follow the software donation guide. ", merge from dubbo master  merge from dubbo master  remove duplicate code ,,[dubbo-4491]remove duplicate code in abstractconfig.java,merge from dubbo master,remove duplicate code in abstractconfig.java,[dubbo-xxx] remove duplicate code in abstractconfig.java, [dubbo-4500] Remove duplicate code in AbstractConfig for cleaner implementation,remove duplicate code in abstractconfig
" if a diagnostic request is actually canceled, we will throw away the type checker as we cannot be certain that it is still in a usable state. i recommend reviewing this with ?w=1 to make the diff easier to understand. ", make type-checking cancellable.  conflicts:  src/compiler/checker.ts  src/compiler/program.ts  src/compiler/types.ts  src/services/services.ts ,,make it possible to cancel requests to get diagnostics.,make type-checking cancellable.,make type-checking cancellable.,Make type-checking cancellable, make type-checking cancellable,make type-checking cancellable
" this pr adds a new pipeline to ci for testing builds under cuda 11.0. the new pipeline (""unix-gpu-cu110"") is triggered by the full-build when the sanity build completes. ", add new docker containers for cuda 11.0 and libcudnn8.  add new functions for running gpu builds and tests in new cuda11 containers.  add runtime functions for cuda 11.0 related builds/tests.  add new pipeline for testing cuda 11.0 builds. ,,add new ci pipeline for building and testing with cuda 11.0.,add new pipeline for testing builds under cuda 11.0,add new pipeline for testing cuda 11.0 builds,add new pipeline for testing cuda 11.0 builds, Add new CI pipeline for testing CUDA 11.0 builds,add new pipeline for testing cuda 11.0 builds
" bug fixes apis added type and value checks for parameter ""shape"" in static graph, when passing ""shape"" to function ""fill_constant()"". bugs are described as below: "," fixed bugs  fixed bugs  some modifications have been made in branch junhui_dev, now i have to update from upstream develop before push ",,fixed bugs for 2.0 api,"fix apis for ""shape"" in static graph",bug fixes for parameter shape in static graph,fix bugs in static graph when passing shape to fill_constant," fix parameter checks for ""shape"" in static graph - bug fixes in fill_constant() function",fixed bugs for shape parameter in fill_constant
" noticed that syntax like vec![0; 5] is never mentioned in vec<t>'s docs, nor used in any of its methods' docs, so i figured i should add a mention of it. also noticed vec!(1, 2) being used in one spot while i was at it, so i fixed that as well for consistency's sake. r? @steveklabnik ", mention vec![x; len] syntax in vec docs  make docs for vec::push() use vec! with square brackets ,,"mention vec![x; len] syntax in vec<t> docs, fix inconsistent use",use vec! with square brackets in vec docs,make docs for vec::push() use vec! with square brackets,fix vec documentation to mention vec![x; len] syntax, add vec![x; len] syntax to vec docs and fix vec! usage consistency,mention vec![] syntax in vec's docs
" modified app.now to correctly return the  timezone-aware current date/time, according to the configured timezone or utc. added unit tests for the changed/added methods. optimize tests by reducing wait time for some test cases due to default polling interval value. fixes #3753. "," fix wrong task eta when using timezone setting  optimization: reduce polling interval in test cases  test cases for app.now, app.uses_utc_timezone ",,fix task eta issues when timezone is defined in configuration,optimize timezone setting for app.now,fix wrong task eta when using timezone setting,fix timezone-aware current date/time in app.now, Fix Timezone Handling in Datetime Functions and Enhance Test Dependencies,fix wrong eta calculation when using timezone
" similar to #65353 (which this pr should've been a part of), however in this case we didn't previously nest the tables when processing trait paths in impl block declarations. closes #65411 ", save-analysis: nest tables when processing impl items  save-analysis: add a relevant test case , -z save-analysis ice when processing impl under an fn item ,nest tables when processing impl block definitions,nest tables when processing impl items,nost tables when processing trait paths in impl block declarations,fix ice when resolving trait paths in impl block declarations, fix ICE when processing trait paths in impl block declarations (#65411),save-analysis: fix ice when processing impl under an fn item
 since esp32 stage has no core_version.h file we have to disable the include. this is done with setting esp32_stage=true in platformio changed esp32 stage to latest commit f7fb00632e0.... the pull request is done against the latest dev branch only one feature/fix was added per pr. the code change is tested and works on tasmota core esp8266 v.2.7.4.5 the code change is tested and works on core esp32 v.1.12.2 i accept the cla. note: the code change must pass ci tests. your pr cannot be merged unless tests pass , no core_version.h in esp32 stage  build flag for esp32 stage ,,make esp32 stage compile possible,build flag for esp32 stage,disable include in esp32 stage,fix esp32 stage include issue, disable core_version.h inclusion for esp32 stage,disable core_version.h for esp32 stage
 backport #13603 to 3-0-x. ," add api to return an unique id for page  fix double-freeing remote references  after the page does navigations, garbage collection can still happen in  the old context. this commit changes to store references to remote objects  by _pages_, instead of by _webcontents_. ",,guard against double-freeing remote references (3-0-x),backport #13603 to 3-0-x,add api to return a unique id for page,backport pin lineage of plasma objects that are still in scope to 3-0-x, backport #13603 to 3-0-x: fix double-freeing remote references and add unique page ID API,
 kafka-12541 introduced a regression for listoffsets requests for non maxtimestamp specs. when communicating with old brokers. this pr addresss this case. tested with new unit test for regression case. , kafka-12541 add max_timestamp spec to listoffsets api  kafka-12541 updated replica fetcher to use latest listoffsets request version  kafka-12541 refactor with retry approach in kafkaadminclient  kafka-12541 added logoffsettest tests  kafka-12541 tidy up  kafka-12541 fixes per pr review  kafka-12541 adminclient simplification  kafka-12541 refactor of listoffsets retry per pr review comments  kafka-12541 fixes per pr review  kafka-12541 stopped retries for partitions that cannot use max_timestamp  kafka-12541 roll back changes to requestresponsetest  kafka-12541 fixes per pr review  kafka-12541 fixes per pr review  kafka-12541 fixes per pr review  kafka-13002 fix for immediate downgrade cases for non max timestamp requests ,,listoffsets must downgrade immediately for non max_timestamp specs,add max_timestamp spec to listoffsets api,kafka-12541 add max_timestamp spec to listoffsets api,Fix regression for listoffsets requests with non-maxtimestamp specs, Fix Regression in ListOffsets for Non-MaxTimestamp Specs (Kafka-12541),kafka-12541: handle listoffsets requests for non-max timestamp specs
" this work does the following: removes the banner add for typeform-based font awesome survey reinstates all other fonticons/black tie banner ads changes references in code and content from ""fonticons"" to ""fort awesome"" updates color combinations for fort awesome (using fa's off-black) and black tie banner ads note: the survey page ( reviewers ui, fed, and content - @davegandy ", removing survey promotion to homepage  updating banner ads visually and name-wise to reference fort awesome  adjusting color settings for black tie banner ad ,,remove font awesome feedback survey,updating banner ads to homepage,remove banner add for typeform-based font awesome survey,remove banner add for typeform-based font awesome survey and update references, update banner ads and color settings for fort awesome,update homepage to remove font awesome survey ad and update banner ads to reference fort awesome
 fixes #33197 , removing duplicate text-decoration style for abbr[title] #33197  removing duplicate text-decoration style for abbr[title] #33197  fix: removing duplicate text-decoration style for abbr[title] #33197 , bootstrap reboot 4.x css contains duplicate text-decoration style for abbr[title] ,remove duplicate text-decoration style for abbr[title],removing duplicate text-decoration style for abbr[title],bootstrap reboot 4.x css contains duplicate text-decoration style,fix duplicate text-decoration style for abbr[title], Remove duplicate text-decoration style for abbr[title] in Bootstrap 4.x,remove duplicate text-decoration style for abbr[title] #33197
" add or edit tests to reflect the change. (run with npm test.) follow the advice from the readme. avoid common mistakes. run npm run lint package-name (or tsc if no tslint.json is present). provide a url to documentation or source code which provides context for the suggested changes:  include tests for your changes if you are making substantial changes, consider adding a tslint.json containing { ""extends"": ""dtslint/dt.json"" }. if for reason the any rule need to be disabled, disable it for that line using // tslint:disable-next-line [rulename] and not for whole package so that the need for disabling can be reviewed. ", removing prompt verbage from selection binding options  merge remote-tracking branch 'upstream/master'  merge remote-tracking branch 'upstream/master'  merge remote-tracking branch 'upstream/master'  merge remote-tracking branch 'upstream/master'  merge remote-tracking branch 'upstream/master'  merge remote-tracking branch 'upstream/master'  merge remote-tracking branch 'upstream/master'  merge remote-tracking branch 'upstream/master'  merge remote-tracking branch 'upstream/master'  merge remote-tracking branch 'upstream/master'  merge remote-tracking branch 'upstream/master'  merge remote-tracking branch 'upstream/master'  merge remote-tracking branch 'upstream/master'  merge remote-tracking branch 'upstream/master'  merge remote-tracking branch 'upstream/master'  merge remote-tracking branch 'upstream/master'  merge remote-tracking branch 'upstream/master'  adding a link to the search options article ,,adding a link to the word search options details page,adding a link to the search options article,removing prompt verbage from selection binding options,updating office-js-preview with the latest from the cdn, Adding Link to Search Options Article Documentation,update the search options article with a link
" this pr adds support for the decrqss (request selection or setting) escape sequence, which is a standard vt query for reporting the state of various control functions. this initial implementation only supports queries for the decstbm margins, and the sgr graphic rendition attributes. this can be useful for certain forms of capability detection (#1040). as one example in particular, it can serve as an alternative to the colorterm environment variable for detecting truecolor support (#11057). of the settings that can be queried by decrqss, the only other one that we could be supporting at the moment is decscusr (cursor style). however, that would require passing the query through to the conpty client, which is a lot more complicated, so i thought it best to leave for a future pr. for now this gets the basic framework in place, so we are at least responding to queries, and even just supporting the sgr attributes query is useful in itself. i've added a unit test verifying the reports for the decstbm and sgr settings with a range of different parameters. i've also tested the decstbm and sgr reports manually in vttest, under menu 11.2.5.3.6 (status-string reports). ", add the basic framework for decrqss.  add a handler for the decstbm setting.  add a handler for the sgr setting.  add some unit tests.  appease the spelling bot. ,,add basic support for the decrqss settings query,add support for decrqss (request selection or setting) escape sequence,add support for decrqss escape sequence,add support for the DECRAQSS escape sequence, Add support for the DEC RQSS escape sequence for querying terminal settings,add support for decrqss queries
